,entry_id,stsd,day,vid,tablockid,blk,num_trip,num_trip_inservice,start_timestamp,end_timestamp,time_driven,miles_driven,soc_used,avg_temp,avg_speed,avg_speed_driven,max_speed,acceleration_avg,acceleration_max,acceleration_min,mile_soc,energy_used,kwh_mile,accu_ascending,accu_descending,num_peaks,weight,traffic,num_driver_id,start_rm,end_rm,odo,source,start_soc,end_soc
270,271,2025-02-07,FRIDAY,2406,15,15,17,15,1738935573,1738989400,884.517,150.692,102.4,58.0774,11.4916,19.4488,43.5057,0.00215068,3.10497,-2.14865,1.4716,292.85,1.94337,651.522,-635.42,178,,,2,183.421,82.7895,4636.61,Clever,,
271,272,2025-02-10,MONDAY,2402,22,22,10,8,1739190120,1739240138,825.3,160.056,153.2,54.8594,12.485,22.0692,43.1756,0.0321326,4.30789,-2.52832,1.04475,351.045,2.19327,816.05,-810.801,230,,,2,211.989,85.136,9928.5,Clever,,
272,273,2025-02-10,MONDAY,2407,11X,11X,18,16,1739192564,1739239857,772.283,150.859,96.0,55.9296,12.5256,21.1461,54.4768,-0.0216785,2.42896,-3.26337,1.57145,289.608,1.91972,502.15,-553.808,163,,,2,215.759,101.109,8718.33,Clever,,
273,274,2025-02-10,MONDAY,2405,72,72,11,9,1739193239,1739253354,992.45,196.502,93.6,54.8919,14.7089,23.519,60.6128,0.0102072,7.47492,-2.80841,2.09939,463.6,2.35926,980.037,-991.319,242,,,2,208.131,32.0201,6726.64,Clever,,
274,275,2025-02-10,MONDAY,2406,15,15,17,15,1739194381,1739248010,879.167,151.114,123.6,55.5131,12.8175,19.6402,46.7388,0.0329665,4.61368,-2.02546,1.22261,278.23,1.84119,646.318,-638.122,173,,,2,205.126,106.732,4792.27,Clever,,
275,276,2025-02-11,TUESDAY,2402,22,22,10,8,1739276563,1739326662,825.466,158.154,72.8,54.6495,11.61,21.0264,49.6417,-0.0260885,3.34632,-4.37106,2.17245,349.471,2.20968,771.866,-781.018,211,,,2,212.84,81.8759,10091.6,Clever,,
276,277,2025-02-11,TUESDAY,2407,11X,11X,19,17,1739278966,1739327571,797.75,168.239,63.2,55.5851,13.6209,19.9239,54.0496,-0.0100523,2.43882,-3.6798,2.66201,314.067,1.86679,582.749,-612.385,194,,,2,215.633,95.7412,8873.03,Clever,,
277,278,2025-02-11,TUESDAY,2401,72,72,11,9,1739279450,1739339625,993.716,197.49,84.0,54.7916,13.8123,20.6594,47.8261,-0.00746052,2.51736,-2.36352,2.35108,400.401,2.02745,979.689,-983.018,257,,,2,179.701,50.588,6631.85,Clever,,
278,279,2025-02-12,WEDNESDAY,2402,22,22,7,6,1739363151,1739398904,590.416,115.569,67.6,51.6433,12.1942,20.1608,44.6707,0.00935502,3.85803,-2.0668,1.7096,295.256,2.55481,587.134,-589.152,143,,,1,159.617,48.7388,10254.6,Clever,,
279,280,2025-02-12,WEDNESDAY,2407,11X,11X,19,17,1739365320,1739413426,790.367,169.283,73.2,51.9046,13.4474,21.7696,53.2534,0.0131058,2.91612,-3.32649,2.31261,397.396,2.34752,559.472,-628.133,167,,,2,213.908,64.3407,9047.28,Clever,,
280,281,2025-02-12,WEDNESDAY,2405,15,15,17,15,1739367218,1739421242,883.483,151.434,66.8,52.108,10.6528,18.3437,44.263,0.00176089,3.55114,-2.00636,2.26698,354.553,2.3413,675.004,-672.327,191,,,2,207.208,76.963,6927.12,Clever,,
