,BLOCK_ID_GTFS,BLOCK_ID_USER,DAY,ROUTE_ID,ROUTE_ID_2,ROUTE_ID_3,SERVICE_ID,START_TIME,END_TIME,INSERVICE_START_TIME,INSERVICE_END_TIME,ST,ET,INSERVICE_ST,INSERVICE_ET,REVENUE_TIME,REVENUE_LENGTH,DEADHEAD_TIME,DEADHEAD_LENGTH,BREAK_TIME
268,62,62,WEDNESDAY,2,,,4,04:42,22:18,05:00,22:00,16920,80280,18000,79200,858,197.005,36,21.0,162
269,7017X,7017X,SUNDAY,7X,,,3,08:20,20:38,08:30,20:21,30000,74280,30600,73260,609,176.44,27,9.6,102
270,7027X,7027X,SUNDAY,7X,,,3,08:50,21:08,09:00,20:51,31800,76080,32400,75060,609,176.44,27,9.6,102
271,7037X,7037X,SUNDAY,7X,,,3,09:20,20:08,09:30,19:51,33600,72480,34200,71460,537,154.385,27,9.6,84
272,72,72,FRIDAY,2,,,2,05:12,21:16,05:30,20:58,18720,76560,19800,75480,784,182.198,36,21.0,144
273,72,72,FRIDAY,2,,,5,05:12,21:16,05:30,20:58,18720,76560,19800,75480,784,182.198,36,21.0,144
274,72,72,MONDAY,2,,,2,05:12,21:16,05:30,20:58,18720,76560,19800,75480,784,182.198,36,21.0,144
275,72,72,MONDAY,2,,,4,05:12,21:16,05:30,20:58,18720,76560,19800,75480,784,182.198,36,21.0,144
276,72,72,SATURDAY,2,,,6,06:00,21:26,06:09,21:08,21600,77160,22140,76080,769,197.855,27,13.0,130
277,72,72,SUNDAY,2,,,3,06:00,21:26,06:09,21:08,21600,77160,22140,76080,769,197.855,27,13.0,130
278,72,72,THURSDAY,2,,,2,05:12,21:16,05:30,20:58,18720,76560,19800,75480,784,182.198,36,21.0,144
279,72,72,THURSDAY,2,,,4,05:12,21:16,05:30,20:58,18720,76560,19800,75480,784,182.198,36,21.0,144
280,72,72,THURSDAY,2,,,6,06:00,21:26,06:09,21:08,21600,77160,22140,76080,769,197.855,27,13.0,130
281,72,72,TUESDAY,2,,,1,05:12,21:16,05:30,20:58,18720,76560,19800,75480,784,182.198,36,21.0,144
282,72,72,TUESDAY,2,,,2,05:12,21:16,05:30,20:58,18720,76560,19800,75480,784,182.198,36,21.0,144
283,72,72,WEDNESDAY,2,,,2,05:12,21:16,05:30,20:58,18720,76560,19800,75480,784,182.198,36,21.0,144
284,72,72,WEDNESDAY,2,,,4,05:12,21:16,05:30,20:58,18720,76560,19800,75480,784,182.198,36,21.0,144
285,82,82,FRIDAY,2,,,2,05:12,19:39,05:30,19:21,18720,70740,19800,69660,706,159.765,36,21.0,125
