,timestamp,vid,rtpidatafeed,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,spd,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd,oid,or_,rid,blk,tripid,tripdyn
72,1750292697,2308,None,20250618 17:24:57,33.91644000057072,-118.33549162162086,270.0,26,5,Willowbrook / Rosa Park Station >> LAX TC,35399.0,0,10.0,37778,37778,45,,1,N/A,61200.0,2025-06-18,124918,False,225,2402,722020,0
73,1750292696,0889,None,20250618 17:24:56,33.905,-118.31133,351.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
74,1750292694,2303,None,20250618 17:24:54,33.86208513243403,-118.30916130950509,0.0,31,2,Kaiser Hospital >> Kaiser Hospital,30075.0,0,30.0,37273,37273,62,,1,N/A,61200.0,2025-06-18,115782,False,213,2602,163020,0
75,1750292694,2017,None,20250618 17:24:54,33.904608333333336,-118.31084166666666,334.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
76,1750292692,2310,None,20250618 17:24:52,33.95267608299237,-118.37504917523273,269.0,26,5,Willowbrook / Rosa Park Station >> LAX TC,66185.0,0,11.0,37777,37777,35,,1,N/A,59400.0,2025-06-18,117030,False,307,1702,46020,0
77,1750292691,2307,None,20250618 17:24:51,33.854412012691796,-118.29924251036294,179.0,31,2,Kaiser Hospital >> Kaiser Hospital,93763.0,0,0.0,37270,37270,22,,1,N/A,57600.0,2025-06-18,82963,False,219,1002,463020,0
78,1750292691,2009,None,20250618 17:24:51,33.79099161090338,-118.2934159918683,89.0,49,2,Kaiser Hospital >> Kaiser Hospital,115538.0,0,37.0,37317,37317,122,,1,N/A,56400.0,2025-06-18,123504,False,222,802,421020,0
79,1750292691,2004,None,20250618 17:24:51,33.916409038789304,-118.36155967421566,89.0,9,5,LAX Transit Center >> Willowbrook / Rosa,19223.0,0,16.0,37745,37745,25,,1,N/A,61320.0,2025-06-18,108020,False,224,1302,277020,0
80,1750292691,1000,None,20250618 17:24:51,33.90425,-118.30987,79.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
81,1750292688,2403,None,20250618 17:24:48,33.86819666666667,-118.35762833333335,86.0,46,3,MLK Transit Center >> South Bay Galleria,60574.0,1,0.0,37495,37495,13,,1,N/A,58920.0,2025-06-18,125430,False,305,302,451020,0
82,1750292688,2318,None,20250618 17:24:48,33.91671280626369,-118.29185341868954,180.0,31,2,Kaiser Hospital >> Kaiser Hospital,65727.0,0,0.0,37271,37271,42,,1,N/A,58800.0,2025-06-18,115120,False,220,2202,497020,0
83,1750292687,2302,None,20250618 17:24:47,33.894518,-118.369928,359.0,14,1X,Redondo Beach Station > Harbor Fwy Station,0.0,1,0.0,37072,37072,21X,,1,N/A,62640.0,2025-06-18,83414,False,227,902,260020,0
84,1750292687,2015,None,20250618 17:24:47,33.79777350157886,-118.29743488072208,339.0,49,2,Kaiser Hospital >> Kaiser Hospital,3228.0,0,11.0,37322,37322,112,,1,N/A,62400.0,2025-06-18,123244,False,221,702,417020,0
85,1750292687,0891,None,20250618 17:24:47,33.90446,-118.30988,72.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
86,1750292685,0843,None,20250618 17:24:45,33.90484,-118.30937,98.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
